problem_id,candidate_id,candidate_rank,solver_ok,objective_value,objective_cluster_id,objective_cluster_size,objective_consensus_score,objective_density_score,objective_cluster_median,distance_to_cluster_median,selected_by_full,selected_by_structure_only,selected_by_fullv2,selected_by_bestofk
single_period_newsvendor_0000,Qwen3-8B_k0,0,True,111.0,0,8,1.0,1.0,111.0,0.0,True,True,True,False
single_period_newsvendor_0000,Qwen3-8B_k1,1,True,111.0,0,8,1.0,1.0,111.0,0.0,False,False,False,True
single_period_newsvendor_0000,Qwen3-8B_k2,2,True,111.0,0,8,1.0,1.0,111.0,0.0,False,False,False,False
single_period_newsvendor_0000,Qwen3-8B_k3,3,True,111.0,0,8,1.0,1.0,111.0,0.0,False,False,False,False
single_period_newsvendor_0000,Qwen3-8B_k4,4,True,111.0,0,8,1.0,1.0,111.0,0.0,False,False,False,False
single_period_newsvendor_0000,Qwen3-8B_k5,5,True,111.0,0,8,1.0,1.0,111.0,0.0,False,False,False,False
single_period_newsvendor_0000,Qwen3-8B_k6,6,True,111.0,0,8,1.0,1.0,111.0,0.0,False,False,False,False
single_period_newsvendor_0000,Qwen3-8B_k7,7,True,111.0,0,8,1.0,1.0,111.0,0.0,False,False,False,False
single_period_newsvendor_0001,Qwen3-8B_k0,0,True,122.0,0,8,1.0,1.0,122.0,0.0,True,True,True,False
single_period_newsvendor_0001,Qwen3-8B_k1,1,True,122.0,0,8,1.0,1.0,122.0,0.0,False,False,False,False
single_period_newsvendor_0001,Qwen3-8B_k2,2,True,122.0,0,8,1.0,1.0,122.0,0.0,False,False,False,False
single_period_newsvendor_0001,Qwen3-8B_k3,3,True,122.0,0,8,1.0,1.0,122.0,0.0,False,False,False,True
single_period_newsvendor_0001,Qwen3-8B_k4,4,True,122.0,0,8,1.0,1.0,122.0,0.0,False,False,False,False
single_period_newsvendor_0001,Qwen3-8B_k5,5,True,122.0,0,8,1.0,1.0,122.0,0.0,False,False,False,False
single_period_newsvendor_0001,Qwen3-8B_k6,6,True,122.0,0,8,1.0,1.0,122.0,0.0,False,False,False,False
single_period_newsvendor_0001,Qwen3-8B_k7,7,True,122.0,0,8,1.0,1.0,122.0,0.0,False,False,False,False
single_period_newsvendor_0002,Qwen3-8B_k0,0,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0002,Qwen3-8B_k1,1,True,580.0,0,5,1.0,1.0,580.0,0.0,False,False,False,False
single_period_newsvendor_0002,Qwen3-8B_k2,2,True,580.0,0,5,1.0,1.0,580.0,0.0,False,False,False,False
single_period_newsvendor_0002,Qwen3-8B_k3,3,True,580.0,0,5,1.0,1.0,580.0,0.0,False,False,False,True
single_period_newsvendor_0002,Qwen3-8B_k4,4,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0002,Qwen3-8B_k5,5,True,580.0,0,5,1.0,1.0,580.0,0.0,False,False,False,False
single_period_newsvendor_0002,Qwen3-8B_k6,6,True,580.0,0,5,1.0,1.0,580.0,0.0,True,True,True,False
single_period_newsvendor_0002,Qwen3-8B_k7,7,False,1508.0,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0003,Qwen3-8B_k0,0,False,420.0,,0,0.0,0.0,,,True,True,True,True
single_period_newsvendor_0003,Qwen3-8B_k1,1,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0003,Qwen3-8B_k2,2,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0003,Qwen3-8B_k3,3,False,420.0,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0003,Qwen3-8B_k4,4,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0003,Qwen3-8B_k5,5,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0003,Qwen3-8B_k6,6,False,420.0,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0003,Qwen3-8B_k7,7,False,420.0,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0004,Qwen3-8B_k0,0,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0004,Qwen3-8B_k1,1,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0004,Qwen3-8B_k2,2,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0004,Qwen3-8B_k3,3,False,684.0,,0,0.0,0.0,,,True,True,True,True
single_period_newsvendor_0004,Qwen3-8B_k4,4,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0004,Qwen3-8B_k5,5,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0004,Qwen3-8B_k6,6,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0004,Qwen3-8B_k7,7,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0005,Qwen3-8B_k0,0,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0005,Qwen3-8B_k1,1,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0005,Qwen3-8B_k2,2,False,,,0,0.0,0.0,,,False,False,False,False
single_period_newsvendor_0005,Qwen3-8B_k3,3,True,220.0,0,1,1.0,1.0,220.0,0.0,True,True,True,True
