problem_id,problem_type,candidate_id,candidate_rank,missing_critical_structures,critical_structure_count,critical_structure_penalty,structure_score,constraint_coverage,objective_term_coverage,selected_by_fullv2,selected_by_structure_only
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k0,0,,0.0,0.0,0.8611111111111112,,0.6666666666666666,True,True
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k1,1,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k2,2,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k3,3,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k4,4,,0.0,0.0,0.8611111111111112,,0.3333333333333333,False,False
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k5,5,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k6,6,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0000,single_period_newsvendor,Qwen3-8B_k7,7,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k0,0,,0.0,0.0,0.8611111111111112,,0.6666666666666666,True,True
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k1,1,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k2,2,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k3,3,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k4,4,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k5,5,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k6,6,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0001,single_period_newsvendor,Qwen3-8B_k7,7,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k0,0,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k1,1,,0.0,0.0,0.8333333333333334,,0.6666666666666666,False,False
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k2,2,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k3,3,,0.0,0.0,0.8611111111111112,,0.6666666666666666,False,False
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k4,4,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k5,5,,0.0,0.0,0.8333333333333334,,0.6666666666666666,False,False
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k6,6,,0.0,0.0,0.8611111111111112,,0.6666666666666666,True,True
single_period_newsvendor_0002,single_period_newsvendor,Qwen3-8B_k7,7,,0.0,0.0,0.5555555555555556,,0.3333333333333333,False,False
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k0,0,,0.0,0.0,0.5555555555555556,,0.3333333333333333,True,True
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k1,1,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k2,2,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k3,3,,0.0,0.0,0.5555555555555556,,0.3333333333333333,False,False
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k4,4,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k5,5,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k6,6,,0.0,0.0,0.5555555555555556,,0.3333333333333333,False,False
single_period_newsvendor_0003,single_period_newsvendor,Qwen3-8B_k7,7,,0.0,0.0,0.5555555555555556,,0.3333333333333333,False,False
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k0,0,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k1,1,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k2,2,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k3,3,,0.0,0.0,0.5555555555555556,,0.3333333333333333,True,True
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k4,4,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k5,5,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k6,6,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0004,single_period_newsvendor,Qwen3-8B_k7,7,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0005,single_period_newsvendor,Qwen3-8B_k0,0,,0.0,0.0,0.0,,1.0,False,False
single_period_newsvendor_0005,single_period_newsvendor,Qwen3-8B_k1,1,,0.0,0.0,0.0,,1.0,False,False
